Index_Number,Question,Chapter_Code,Topic_Code,Year,University,Unit,Option_1,Option_2,Option_3,Option_4,Option_5,Correct_Option,,Chapter_Name,Chapter_Code,Total_Count,University_Count,Unit_Count,Year_Count,Priority_Ranking.,Priority
18,"The cost of a cake is Tk x which is to be shared by 8 people. But at the last moment, 2 people left the group without paying. How many more taka in terms of x will it cost each person?",M11,nill,2004-2005,DU,IBA,x/8,x/12,x/24 ,3x/16,None of these,x/24 ,,,,,,,,,
19,"Two carions weigh (3x-2) kgs and (2x-3) kgs respectively. If the average weight of the cartons is 10 kgs, the heavier carton weighs how many kgs more than the lighter carton?",M11,nill,2004-2005,DU,IBA,2,4,5,6,10,6,,,,,,,,,
20,Which of the following is equal to the average of (x + 2)^2 and (x - 2)^2?,M11,nill,2005-2006,DU,IBA,X^2,X^2+2,x^2+4,x^2+2x,None of these,x^2+4,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
51,"If x and y are both odd integers, which of the following numbers must be an event integer?",M1,nill,37712,DU,IBA,x2 + y-1,xy+y2 ,x+y+1,xy+2,None of these,xy+y2 ,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
52,The sum of six consecutive odd number exceeds twice the largest by 38. Find the sum of the six numbers. ,M1,nill,36526,DU,IBA,43,50,64,72,None of these,72,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
53,"If n and p are both odd numbers, which of the following must be an event number? ",M1,nill,1998-99,DU,IBA,n+p+1,np,np+2,n+p,2n+p,n+p,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
54,The average of four consecutive odd positive integers is always ,M1,nill,1998-99,DU,IBA,An odd number,Divisible by 4,an even number,Both (b) & (c),Either (b) & (c),an even number,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
55,"If n is an event integer, which of the following must be an odd integer? ",M1,nill,36923,DU,IBA,7n-2,5(n-2),(16n+24)/8,(6n+12)/3,None of these,(16n+24)/8,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
56,"If x is an odd integer, for which of the following equations must y be an even integer?",M1,nill,37712,DU,IBA,xy=5,x + y = 8,x + 2y = 7,2x + y = 6,None of these,2x + y = 6,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
57,"If the 1st number in a series of consecutive odd numbers is 8 less than the last number in the series, how many numbers are there in the series",M1,nill,2004-2005,DU,IBA,4,5,7,8,None of these,5,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
58,"Five consecutive integers are given. If the sum of the first three integers is 24, what is the sum of the last three?",M1,nill,36923,DU,IBA,27,28,29,30,None of these,30,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
59,"If a, b and c are 3 consecutive integers and a>b>c, which of the following has the maximum vlaue?",M1,nill,39295,DU,IBA,a+b/c,b+c/a,c+b/a,c+a/b,a+c/b,a+b/c,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
60,M is a set of 5 consecutive integers whose average is 4. N is a set of 7 consecutive integers whose average is 7. How many members of set N are also members of set M?,M1,nill,37712,DU,IBA,0,1,2,3,None of these,3,,"Integer, Positive, Negative, Odd, Even, Consecutive Numbers",M1,,,,,,
61,The difference between two hundred nine thousand fourteen and ninety three thousand seven hundred nine is ,M2,nill,1993-94,DU,IBA,"116,315","115,315","116,305","115,305",None of these,"115,305",,"Basic Operations, Factors, Multipliers",M2,,,,,,
62,"A club collected exactly Tk 599 from its members. If each member contributed at least TK 12, what is the greatest number of members the club could have? ",M2,nill,38108,DU,IBA,48,49,50,51,None of these,49,,"Basic Operations, Factors, Multipliers",M2,,,,,,
63,"In Rajshahi 5 adults are unemployed for every 120 adults who have jobs. Out of 2125 adults, how many have jobs? ",M2,nill,38899,DU,IBA,89,425,2040,1896,none of these,2040,,"Basic Operations, Factors, Multipliers",M2,,,,,,
64,"If a typist can type 125 pages, 36 lines each, 11 words to each line in 5 day, how many pages of 30 lines each and 12 words to each line can he type in 6 days?",M2,nill,1996=97,DU,IBA,180,175,170,165,None of these,165,,"Basic Operations, Factors, Multipliers",M2,,,,,,
65,"If 4 is subtracted from one-fourth of a number, the result is 20. The number is",M2,nill,37316,DU,IBA,84,92,108,116,None of these,None of these,,"Basic Operations, Factors, Multipliers",M2,,,,,,
66,"If the product of 3 consecutive integers is 120, then the sum of the integers is ",M2,nill,37712,DU,IBA,9,12,14,15,18,15,,"Basic Operations, Factors, Multipliers",M2,,,,,,
67,What is the total number of integers between 100 and 200 that are divisible by 3? ,M2,nill,38504,DU,IBA,33,32,31,30,None of these,33,,"Basic Operations, Factors, Multipliers",M2,,,,,,
68,"3 and 5 are factors of F. From this information, we can conclude that",M2,nill,1994,DU,IBA,8 is a factor of F ,F is a multiple of 15,F = 3 x 5,15 is a multiple of 15 ,3 and 5 are the only factors of F,F is a multiple of 15,,"Basic Operations, Factors, Multipliers",M2,,,,,,
69,"If the product of (1+2), (2+3) and (3+4) is equal to one half the sum of 20 and x, then x =? ",M2,nill,1996-97,DU,IBA,210,190,105,85,10,190,,"Basic Operations, Factors, Multipliers",M2,,,,,,
70,"A man invested in a life insurance policy. He paid the insurance company an annual premium of Tk. 20 for insurance of every thousand taka. His insurance was for Tk. 4,500. The man died after making 27 annual installments. Total sum paid by the insurance company was Tk. 7,800. By how much did the sum paid by the insurance company exceed the total amount of premium that the man paid to the insurance company? ",M2,nill,1996-97,DU,IBA,5370,4750,4500,3300,none of these ,5370,,"Basic Operations, Factors, Multipliers",M2,,,,,,
71,How many prime numbers are there between 1 and 10? ,M3,nill,1994,DU,IBA,2,3,4,5,6,,,"Basic Operations, Factors, Multipliers",M2,,,,,,
72,"What is the minimum number of chocolates that must be added to the existing stock of 270 chocolates so that the total stock can equally be divided among 6, 8 or 12 1-persons? ",M3,nill,2003-04,DU,IBA,12,16,18,20,none of these,,,,,,,,,,
73,"One third, one fourth, one fifth and one-seventh of the human population of Island X, which has fewer than 5000 human inhabitants, are all whole numbers and their sum is exactly the population of Island Y. What is the Population of Island Y? ",M3,nill,2002-03,DU,IBA,4200,4279,4581,4800,Cannot be determined,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,
